Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-07 10:31:56
Trials,5
Model R^2,0.9641
Model RMSE,2.03%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,17.94%,7.945%,40.000,45.000,1.357,0.500,7.000,16.786,1.000,3.000,0.000,14.000
20%,20.14%,0.138%,40.000,45.000,1.418,0.528,7.000,9.565,1.000,3.000,0.000,13.262
30%,34.55%,4.554%,40.000,45.000,1.367,1.066,7.000,18.012,1.000,3.000,0.000,6.564
40%,40.65%,0.647%,40.000,40.247,1.438,1.352,6.895,8.354,1.000,3.000,0.000,5.101
50%,50.41%,0.406%,35.154,29.776,1.450,1.680,6.338,7.363,1.178,3.895,0.000,3.773
60%,60.41%,0.408%,33.267,25.725,1.456,1.807,6.009,6.962,1.896,6.853,0.000,3.325
70%,70.41%,0.408%,31.358,21.628,1.462,1.936,5.677,6.557,2.622,9.844,0.000,2.932
80%,80.17%,0.169%,28.990,16.546,1.469,2.092,5.268,6.054,3.125,13.554,0.000,2.518
90%,87.98%,2.017%,15.306,15.000,1.494,2.139,4.154,5.000,3.217,15.000,0.000,1.942

Summary
Successful,9/9
Avg Error,1.85%
Min Error,0.14%
Max Error,7.94%
