Report Type,MULTI-TARGET ANALYSIS
Generated,2025-12-07 21:23:15
Trials,5
Model R^2,0.9906
Model RMSE,1.21%
Input Type,keyboard

Target,Predicted,Error,Speed,VerticalSpeed,IdleUpwardSpeed,LifeTime,Drain,Collide,TimeBetweenCollides,Heal,FactorForce,EffectiveDrainRate
10%,10.10%,0.100%,22.323,45.000,2.409,0.550,7.000,8.679,1.000,3.000,0.000,12.720
20%,20.23%,0.227%,23.470,45.000,2.295,0.760,7.000,8.438,1.000,3.000,0.000,9.209
30%,30.98%,0.985%,24.593,45.000,1.872,1.093,7.000,8.082,1.000,3.000,0.000,6.405
40%,40.45%,0.452%,27.736,41.795,1.813,1.517,6.891,7.472,1.446,3.000,0.000,4.542
50%,50.34%,0.336%,29.977,31.534,1.650,1.720,6.693,7.072,1.936,4.636,0.000,3.892
60%,60.35%,0.349%,31.207,25.900,1.528,1.836,6.100,6.813,2.247,7.448,0.000,3.323
70%,70.35%,0.348%,32.456,20.179,1.404,1.953,5.497,6.551,2.563,10.303,0.000,2.814
80%,80.30%,0.301%,33.758,15.431,1.275,2.075,4.869,6.278,2.892,13.281,0.000,2.346
90%,88.92%,1.084%,37.094,15.000,1.063,2.140,4.151,5.577,3.220,15.000,0.000,1.940

Summary
Successful,9/9
Avg Error,0.46%
Min Error,0.10%
Max Error,1.08%
