trial_id,speed,verticalSpeed,idleUpwardSpeed,lifeTime,downHealthPairSec,removeHealthWithCollide,timeBetweenCollides,healHealthPoint,factor_force,o2_run1,o2_run2,o2_run3,o2_run4,o2_run5,o2_run6,o2_run7,o2_run8,o2_run9,o2_run10,o2_run11,o2_run12,o2_run13,o2_run14,o2_run15,o2_run16,o2_run17,o2_run18,o2_run19,o2_run20,o2_run21,o2_run22,o2_run23,o2_run24,o2_run25,o2_run26,o2_run27,o2_run28,o2_run29,o2_run30,o2_run31
1,15,30,0.01,2,2,5,2,10,3,85,85,90,78,80,80,71,85,80,80,78,83,80,80,73,80,80,85,80,87,90,85,90,85,85,85,80,90,85,85,92.0
2,12,35,0.02,1.5,2.5,8,1,8,2.5,34,36,56,,,50,,56,42,38,48,44,56,48,58,48,58,48,50,56,48,48,32,50,48,54.5,38.5,57,38.5,62.5,54.5
3,22,28,0.3,1,3,9,1.5,4,3.5,59,66,81,,,51,,60,45,57,60,54,57,51,,54,60,57,57,60,60,48,48,,54,38,53,62,38,50
4,18,38,0.04,0.5,1,10,0.8,3,4,97,97,78,,,,,75,78,78,78,87,87,97,,87,97,97,78,87,89,79,96,,86,53,54,43,71,76
5,14,40,0.1,1.2,2,12,1.2,6,4.5,70,76,82,,,,,76,74,78,76,52,80,86,,76,86,56,86,78,78,,68,,76,70,46,34,,60
6,16,25,0.5,1.3,1.1,9,2.2,7,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,32,0.2,0.9,0.6,3,1.8,12,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,45,0.8,2.2,1.8,13,3.5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,20,1,0.8,0.5,4,1.2,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,30,0.05,1.6,1.3,7,2.8,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
