oygenTarget,predicted_oygen,error,speed,verticalSpeed,idleUpwardSpeed,lifeTime,RemoveHealthEveryLifeTime,removeHealthWithCollide,timeBetweenCollides,healHealthPoint,factorForce
10%,33.47,23.470,17.113,27.964,0.500,1.000,4.300,9.947,1.012,6.046,0.000
20%,33.97,13.972,17.562,28.213,0.500,1.000,4.300,9.679,1.024,6.057,0.000
30%,36.41,6.415,18.158,28.959,0.516,1.000,4.251,9.597,1.127,5.989,0.000
40%,42.88,2.877,18.354,29.414,0.509,1.000,3.738,9.315,1.287,6.028,0.000
50%,49.59,0.414,18.760,29.970,0.504,1.054,3.271,9.162,1.417,6.055,0.000
60%,59.60,0.401,19.004,30.198,0.497,1.320,2.763,8.923,1.572,5.967,0.000
70%,69.58,0.420,19.574,30.681,0.489,1.632,2.154,8.717,1.751,5.983,0.000
80%,79.57,0.433,20.250,31.733,0.481,1.942,1.484,8.365,1.965,5.976,0.000
90%,89.53,0.471,20.725,32.359,0.470,2.286,0.710,8.025,2.191,5.944,0.000
