trial_id,speed,verticalSpeed,idleUpwardSpeed,lifeTime,RemoveHealthEveryLifeTime,removeHealthWithCollide,timeBetweenCollides,healHealthPoint,factorForce,IsAmadeoMode,o2_result,duration
1,39.79,18.39,0.80,1.90,4.66,6.09,2.60,13.35,0.00,0.00,80.78,14.0
2,31.89,20.59,1.59,1.30,6.10,16.11,1.57,9.01,0.00,0.00,38.00,13.4
3,20.82,22.77,1.52,1.93,5.10,9.51,2.42,14.85,0.00,0.00,74.10,16.9
4,23.57,39.83,1.46,1.95,5.77,6.67,1.01,6.42,0.00,0.00,53.54,18.6
5,32.73,39.12,1.25,1.86,6.40,4.45,2.72,5.15,0.00,0.00,55.90,13.5
