trial_id,speed,verticalSpeed,idleUpwardSpeed,lifeTime,RemoveHealthEveryLifeTime,removeHealthWithCollide,timeBetweenCollides,healHealthPoint,factorForce,o2_run1,o2_run2,o2_run3,o2_run4,o2_run5,o2_run6,o2_run7,o2_run8,o2_run9,o2_run10,o2_run11,o2_run12,o2_run13,o2_run14,o2_run15,o2_run16,o2_run17,o2_run18,o2_run19,o2_run20,o2_run21,o2_run22,o2_run23,o2_run24,o2_run25,o2_run26,o2_run27,o2_run28,o2_run29,o2_run30,o2_run31,o2_run32,o2_run33,o2_run34,o2_run35,o2_run36,o2_run37,o2_run38,o2_run39,o2_run40,o2_run41,o2_run42,o2_run43,o2_run44,o2_run45,o2_run46,o2_run47,o2_run48,o2_run49,o2_run50,o2_run51,o2_run52,o2_run53,o2_run54,o2_run55,o2_run56,o2_run57,o2_run58,o2_run59,o2_run60,o2_run61,o2_run62,o2_run63,o2_run64,o2_run65,o2_run66,o2_run67,o2_run68,o2_run69,o2_run70,o2_run71,o2_run72,o2_run73,o2_run74,o2_run75,o2_run76,o2_run77,o2_run78,o2_run79,o2_run80,o2_run81,o2_run82,o2_run83,o2_run84,o2_run85,o2_run86,o2_run87,o2_run88,o2_run89,o2_run90,o2_run91,o2_run92,o2_run93,o2_run94,o2_run95,o2_run96,o2_run97,o2_run98,o2_run99,o2_run100,o2_run101,o2_run102,o2_run103,o2_run104,o2_run105,o2_run106,o2_run107,o2_run108,o2_run109,o2_run110,o2_run111,o2_run112,o2_run113,o2_run114,o2_run115,o2_run116,o2_run117,o2_run118,o2_run119,o2_run120,o2_run121,o2_run122,o2_run123,o2_run124,o2_run125,o2_run126,o2_run127,o2_run128,o2_run129,o2_run130,o2_run131,o2_run132,o2_run133,o2_run134,o2_run135,o2_run136,o2_run137,o2_run138,o2_run139,o2_run140,o2_run141,o2_run142,o2_run143,o2_run144,o2_run145,o2_run146,o2_run147,o2_run148,o2_run149,o2_run150,o2_run151,o2_run152,o2_run153,o2_run154,o2_run155,o2_run156,o2_run157,o2_run158,o2_run159,o2_run160,o2_run161,o2_run162,o2_run163,o2_run164,o2_run165,o2_run166,o2_run167,o2_run168,o2_run169,o2_run170,o2_run171,o2_run172,o2_run173,o2_run174,o2_run175,o2_run176,o2_run177,o2_run178,o2_run179,o2_run180,o2_run181,o2_run182,o2_run183,o2_run184,o2_run185,o2_run186,o2_run187
1,15,30,0.4,2,2,5,2,7,3,70.4,80,80,78,80,80,80,80,80,85,75,80,85,80,80,80,80,75,82,85,85,82,80,90,80,80,80,85,80,85,80,85,80,80,85,80,80,83,85,85,75,83,85,85,88,90,88,85,85,80,83,80,80,85,80,80,85,85,56,78,78,80,80,80,85,85,85,80,78,80,85,80,80,78,80,80,78,80,78,85,85,75,80,80,88,78,80,85,78,78,80,80,85,80,78,80,87,80,92,80,87,75,80,80,78,72,80,85,80,80,80,83,87,77,77,70,72,79,84,79,84,89,79,84,79,89,89,84,82,79,84,84,77,87,79,82,89,77,89,84,84,84,84,84,89,72,82,84,84,82,82,89,79,87,84,89,84.0,82.0,77.0,84.0,84.0,84.0,87.0,84.0,87.0,79.0,84.0,87.0,80.0,84.0,87.0,84.0,82.0,87.0,89.0,82.0,89.0,82.0,79.0,85.0,87.0,79.0,84.0,87.0,84.0,84.0,82.0
2,12,28,0.5,1.5,3.5,6,1,8,2.5,40.8,44,54.5,46.5,36.5,28.5,20.5,28.5,48,48,36.5,44.5,28.5,36.5,36.5,40,40,40,36.5,44.5,48,56,56,48,48,36.5,40,36.5,36.5,56,40,44.5,40,40,28.5,40,40,43.5,40,40,20.5,44.5,48,56,49,20.5,49,40,32,28.5,44.5,48,40,40,35,56,44.5,36.5,44.5,36.5,48,0,40,48,32,40,9,36.5,36.5,40,36.5,36.5,48,48,28.5,44.5,28.5,28.5,48,33,32,44.5,36.5,51.5,32,40,36.5,44.5,44.5,28.5,36.5,36.5,48,36.5,36.5,44.5,49,44.5,36.5,28.5,44.5,20.5,28.5,44.5,33,28.5,33,36.5,36.5,36.5,28.5,52.5,45.5,57.5,22,31.5,37.5,37.5,43.5,,37.5,59,,,47,,,53,55.5,47,,43.5,,52,49.5,43.5,53,37.5,59,59,59,49.5,49.5,59,49.5,53,49.5,59,53,42.5,53,37.5,23.5,53,53,59,53.0,,43.5,46.0,43.5,53.0,46.0,49.5,,43.5,52.0,52.0,43.5,52.0,31.0,53.0,52.0,49.5,49.5,59.0,53.0,43.5,45.0,41.5,42.5,47.0,59.0,,43.5,,53.0
3,19,25,0.3,1,3,9,1.5,4,3.5,30,75.8,53,62,56,50,47,47,44,53,53,62,50,62,44,44,44,41,53,59,44,65,53,59,65,41,53,26,26,44,53,44,44,44,44,44,44,41,44,47,47,47,56,62,41,41,59,53,62,50,50,62,65,53,53,14,62,59,,41,0,,53,65,59,41,56,44,59,51,62,53,44,53,44,56,62,41,44,32,,62,41,41,44,44,53,56,41,53,44,50,53,53,44,59,,41,53,41,53,59,68,47,44,50,62,53,44,56,56,41,44,50,26,38,35,38,47,,41,56,,,35,,,59,56,,,38,,,44,50,38,29,65,62,47,59,53,56,56,59,53,59,62,56,59,38,59,59,59,50,59.0,,59.0,50.0,56.0,53.0,50.0,59.0,,,59.0,53.0,50.0,38.0,50.0,,50.0,56.0,41.0,50.0,56.0,50.0,50.0,20.0,50.0,47.0,35.0,,50.0,,56.0
4,20,38,0.8,0.5,1,10,1.8,3,4,60,64.6,83,82,61,72,62,71,62,62,72,60,62,52,62,72,72,62,72,73,72,63,73,83,72,72,62,39,50,62,62,71,61,73,62,63,62,62,83,62,0,62,82,82,83,83,80,70,81,72,71,70,62,64,83,50,82,72,,59,61,,72,72,72,72,83,81,61,68,72,82,82,82,61,62,72,73,72,51,,82,62,49,48,71,71,72,80,72,72,72,72,61,62,72,,61,62,73,73,50,58,69,51,46,57,59,48,56,67,46,53,47,43,70,51,0,,,53,,,,53,,,74,73,,,52,,,51,64,63,72,73,62,73,73,74,74,74,72,52,73,73,69,52,52,48,73,63,69,60.0,,63.0,72.0,73.0,64.0,68.0,52.0,,,67.0,41.0,74.0,64.0,53.0,,56.0,64.0,61.0,63.0,72.0,63.0,59.0,59.0,71.0,72.0,73.0,,74.0,,73.0
5,25,40,1,1.2,4,12,1.4,6,5,50,59,57,56,34,60,46,26,26,22,26,10,30,6,10,5,6,26,26,10,10,38,22,22,26,38,38,22,38,0,14,10,2,10,14,10,26,14,26,10,14,10,26,38,30,26,38,22,26,18,8,14,18,22,10,22,18,22,,0,26,,22,38,26,10,22,34,10,8,22,22,38,22,10,26,6,26,30,4,,10,34,22,22,10,14,10,22,10,10,10,22,34,30,10,,6,18,22,22,18,38,34,26,26,34,18,38,30,58,34,54,54,34,22,34,,,,62,,,,50,,,54,58,,,58,,,34,50,62,58,62,50,58,62,50,62,62,50,50,62,50,0,50,38,38,50,66,50,,,46.0,66.0,62.0,38.0,42.0,50.0,,,50.0,50.0,38.0,62.0,34.0,,46.0,58.0,50.0,50.0,50.0,38.0,50.0,26.0,42.0,38.0,62.0,,38.0,,50.0
